date,cluster_id,pincode,latitude,longitude,calls
01-01-2025,C1,721300,22.30745401,87.35507143,36
01-01-2025,C2,721301,22.34319939,87.31986585,19
01-01-2025,C3,721302,22.28560186,87.27559945,14
01-01-2025,C4,721303,22.27580836,87.34661761,24
01-01-2025,C5,721304,22.3301115,87.33080726,28
02-01-2025,C1,721300,22.30745401,87.35507143,31
02-01-2025,C2,721301,22.34319939,87.31986585,33
02-01-2025,C3,721302,22.28560186,87.27559945,32
02-01-2025,C4,721303,22.27580836,87.34661761,33
02-01-2025,C5,721304,22.3301115,87.33080726,18
03-01-2025,C1,721300,22.30745401,87.35507143,18
03-01-2025,C2,721301,22.34319939,87.31986585,25
03-01-2025,C3,721302,22.28560186,87.27559945,34
03-01-2025,C4,721303,22.27580836,87.34661761,43
03-01-2025,C5,721304,22.3301115,87.33080726,16
04-01-2025,C1,721300,22.30745401,87.35507143,20
04-01-2025,C2,721301,22.34319939,87.31986585,16
04-01-2025,C3,721302,22.28560186,87.27559945,19
04-01-2025,C4,721303,22.27580836,87.34661761,24
04-01-2025,C5,721304,22.3301115,87.33080726,7
05-01-2025,C1,721300,22.30745401,87.35507143,10
05-01-2025,C2,721301,22.34319939,87.31986585,11
05-01-2025,C3,721302,22.28560186,87.27559945,15
05-01-2025,C4,721303,22.27580836,87.34661761,11
05-01-2025,C5,721304,22.3301115,87.33080726,10
06-01-2025,C1,721300,22.30745401,87.35507143,33
06-01-2025,C2,721301,22.34319939,87.31986585,33
06-01-2025,C3,721302,22.28560186,87.27559945,35
06-01-2025,C4,721303,22.27580836,87.34661761,25
06-01-2025,C5,721304,22.3301115,87.33080726,45
07-01-2025,C1,721300,22.30745401,87.35507143,17
07-01-2025,C2,721301,22.34319939,87.31986585,20
07-01-2025,C3,721302,22.28560186,87.27559945,44
07-01-2025,C4,721303,22.27580836,87.34661761,22
07-01-2025,C5,721304,22.3301115,87.33080726,23
08-01-2025,C1,721300,22.30745401,87.35507143,20
08-01-2025,C2,721301,22.34319939,87.31986585,18
08-01-2025,C3,721302,22.28560186,87.27559945,33
08-01-2025,C4,721303,22.27580836,87.34661761,33
08-01-2025,C5,721304,22.3301115,87.33080726,13
09-01-2025,C1,721300,22.30745401,87.35507143,28
09-01-2025,C2,721301,22.34319939,87.31986585,15
09-01-2025,C3,721302,22.28560186,87.27559945,18
09-01-2025,C4,721303,22.27580836,87.34661761,13
09-01-2025,C5,721304,22.3301115,87.33080726,23
10-01-2025,C1,721300,22.30745401,87.35507143,25
10-01-2025,C2,721301,22.34319939,87.31986585,24
10-01-2025,C3,721302,22.28560186,87.27559945,32
10-01-2025,C4,721303,22.27580836,87.34661761,38
10-01-2025,C5,721304,22.3301115,87.33080726,38
11-01-2025,C1,721300,22.30745401,87.35507143,11
11-01-2025,C2,721301,22.34319939,87.31986585,19
11-01-2025,C3,721302,22.28560186,87.27559945,17
11-01-2025,C4,721303,22.27580836,87.34661761,16
11-01-2025,C5,721304,22.3301115,87.33080726,24
12-01-2025,C1,721300,22.30745401,87.35507143,13
12-01-2025,C2,721301,22.34319939,87.31986585,17
12-01-2025,C3,721302,22.28560186,87.27559945,20
12-01-2025,C4,721303,22.27580836,87.34661761,9
12-01-2025,C5,721304,22.3301115,87.33080726,20
13-01-2025,C1,721300,22.30745401,87.35507143,36
13-01-2025,C2,721301,22.34319939,87.31986585,20
13-01-2025,C3,721302,22.28560186,87.27559945,22
13-01-2025,C4,721303,22.27580836,87.34661761,26
13-01-2025,C5,721304,22.3301115,87.33080726,36
14-01-2025,C1,721300,22.30745401,87.35507143,37
14-01-2025,C2,721301,22.34319939,87.31986585,38
14-01-2025,C3,721302,22.28560186,87.27559945,38
14-01-2025,C4,721303,22.27580836,87.34661761,39
14-01-2025,C5,721304,22.3301115,87.33080726,15
15-01-2025,C1,721300,22.30745401,87.35507143,29
15-01-2025,C2,721301,22.34319939,87.31986585,14
15-01-2025,C3,721302,22.28560186,87.27559945,13
15-01-2025,C4,721303,22.27580836,87.34661761,24
15-01-2025,C5,721304,22.3301115,87.33080726,22
16-01-2025,C1,721300,22.30745401,87.35507143,21
16-01-2025,C2,721301,22.34319939,87.31986585,40
16-01-2025,C3,721302,22.28560186,87.27559945,35
16-01-2025,C4,721303,22.27580836,87.34661761,23
16-01-2025,C5,721304,22.3301115,87.33080726,29
17-01-2025,C1,721300,22.30745401,87.35507143,33
17-01-2025,C2,721301,22.34319939,87.31986585,24
17-01-2025,C3,721302,22.28560186,87.27559945,34
17-01-2025,C4,721303,22.27580836,87.34661761,19
17-01-2025,C5,721304,22.3301115,87.33080726,40
18-01-2025,C1,721300,22.30745401,87.35507143,25
18-01-2025,C2,721301,22.34319939,87.31986585,16
18-01-2025,C3,721302,22.28560186,87.27559945,11
18-01-2025,C4,721303,22.27580836,87.34661761,23
18-01-2025,C5,721304,22.3301115,87.33080726,30
19-01-2025,C1,721300,22.30745401,87.35507143,20
19-01-2025,C2,721301,22.34319939,87.31986585,7
19-01-2025,C3,721302,22.28560186,87.27559945,6
19-01-2025,C4,721303,22.27580836,87.34661761,13
19-01-2025,C5,721304,22.3301115,87.33080726,14
20-01-2025,C1,721300,22.30745401,87.35507143,18
20-01-2025,C2,721301,22.34319939,87.31986585,36
20-01-2025,C3,721302,22.28560186,87.27559945,45
20-01-2025,C4,721303,22.27580836,87.34661761,30
20-01-2025,C5,721304,22.3301115,87.33080726,32
21-01-2025,C1,721300,22.30745401,87.35507143,17
