day_index,severity_Critical,severity_High,severity_Low,severity_Medium,severity_Very Low
367,20.115182517820294,43.34615422048111,16.999999774580267,39.211542922836436,16.769230847025575
368,20.346167604963906,42.94231114507889,16.807693328480383,39.192307336561875,16.44230775199226
369,19.904035648247774,44.17307562402315,17.88461653419949,39.84615448812315,16.249999740888104
370,20.25012925748116,42.846156450526806,16.096150721681518,39.403841794505375,17.749999865892985
371,20.365433758960314,42.55769239263041,16.096157445488956,39.65384472897011,17.24999850473834
372,20.056641018263683,44.773586335431304,17.00000449766325,39.62264294532719,17.09433852165624
373,19.905566658490464,42.94339653805617,16.41509359158684,38.660379615834444,17.301886112164663
374,20.115182517820294,43.34615422048111,16.999999774580267,39.211542922836436,16.769230847025575
375,20.346167604963906,42.94231114507889,16.807693328480383,39.192307336561875,16.44230775199226
376,19.904035648247774,44.17307562402315,17.88461653419949,39.84615448812315,16.249999740888104
377,20.25012925748116,42.846156450526806,16.096150721681518,39.403841794505375,17.749999865892985
378,20.365433758960314,42.55769239263041,16.096157445488956,39.65384472897011,17.24999850473834
379,20.056641018263683,44.773586335431304,17.00000449766325,39.62264294532719,17.09433852165624
380,19.905566658490464,42.94339653805617,16.41509359158684,38.660379615834444,17.301886112164663
381,20.115182517820294,43.34615422048111,16.999999774580267,39.211542922836436,16.769230847025575
382,20.346167604963906,42.94231114507889,16.807693328480383,39.192307336561875,16.44230775199226
383,19.904035648247774,44.17307562402315,17.88461653419949,39.84615448812315,16.249999740888104
384,20.25012925748116,42.846156450526806,16.096150721681518,39.403841794505375,17.749999865892985
385,20.365433758960314,42.55769239263041,16.096157445488956,39.65384472897011,17.24999850473834
386,20.056641018263683,44.773586335431304,17.00000449766325,39.62264294532719,17.09433852165624
387,19.905566658490464,42.94339653805617,16.41509359158684,38.660379615834444,17.301886112164663
388,20.115182517820294,43.34615422048111,16.999999774580267,39.211542922836436,16.769230847025575
389,20.346167604963906,42.94231114507889,16.807693328480383,39.192307336561875,16.44230775199226
390,19.904035648247774,44.17307562402315,17.88461653419949,39.84615448812315,16.249999740888104
391,20.25012925748116,42.846156450526806,16.096150721681518,39.403841794505375,17.749999865892985
392,20.365433758960314,42.55769239263041,16.096157445488956,39.65384472897011,17.24999850473834
393,20.056641018263683,44.773586335431304,17.00000449766325,39.62264294532719,17.09433852165624
394,19.905566658490464,42.94339653805617,16.41509359158684,38.660379615834444,17.301886112164663
395,20.115182517820294,43.34615422048111,16.999999774580267,39.211542922836436,16.769230847025575
396,20.346167604963906,42.94231114507889,16.807693328480383,39.192307336561875,16.44230775199226
