employee_id,base_id,date,skill_type,working,shift_type
EMP00001,BASE07,01-10-2025,job2,1,full_day
EMP00001,BASE07,02-10-2025,job2,1,full_day
EMP00001,BASE07,03-10-2025,job2,1,full_day
EMP00001,BASE07,04-10-2025,job2,1,morning
EMP00001,BASE07,05-10-2025,job2,0,
EMP00001,BASE07,06-10-2025,job2,0,
EMP00001,BASE07,07-10-2025,job2,1,full_day
EMP00001,BASE07,08-10-2025,job2,1,morning
EMP00001,BASE07,09-10-2025,job2,1,afternoon
EMP00001,BASE07,10-10-2025,job2,1,morning
EMP00001,BASE07,11-10-2025,job2,0,
EMP00001,BASE07,12-10-2025,job2,0,
EMP00001,BASE07,13-10-2025,job2,1,afternoon
EMP00001,BASE07,14-10-2025,job2,1,full_day
EMP00001,BASE07,15-10-2025,job2,1,morning
EMP00001,BASE07,16-10-2025,job2,0,
EMP00001,BASE07,17-10-2025,job2,0,
EMP00001,BASE07,18-10-2025,job2,0,
EMP00001,BASE07,19-10-2025,job2,1,full_day
EMP00001,BASE07,20-10-2025,job2,1,full_day
EMP00001,BASE07,21-10-2025,job2,0,
EMP00001,BASE07,22-10-2025,job2,1,morning
EMP00001,BASE07,23-10-2025,job2,1,full_day
EMP00001,BASE07,24-10-2025,job2,0,
EMP00001,BASE07,25-10-2025,job2,1,afternoon
EMP00001,BASE07,26-10-2025,job2,1,full_day
EMP00001,BASE07,27-10-2025,job2,0,
EMP00001,BASE07,28-10-2025,job2,0,
EMP00001,BASE07,29-10-2025,job2,1,afternoon
EMP00001,BASE07,30-10-2025,job2,1,morning
EMP00001,BASE07,31-10-2025,job2,0,
EMP00001,BASE07,01-11-2025,job2,0,
EMP00001,BASE07,02-11-2025,job2,0,
EMP00001,BASE07,03-11-2025,job2,0,
EMP00001,BASE07,04-11-2025,job2,1,full_day
EMP00001,BASE07,05-11-2025,job2,0,
EMP00001,BASE07,06-11-2025,job2,0,
EMP00001,BASE07,07-11-2025,job2,1,afternoon
EMP00001,BASE07,08-11-2025,job2,1,full_day
EMP00001,BASE07,09-11-2025,job2,1,morning
EMP00001,BASE07,10-11-2025,job2,1,full_day
EMP00001,BASE07,11-11-2025,job2,1,morning
EMP00001,BASE07,12-11-2025,job2,1,afternoon
EMP00001,BASE07,13-11-2025,job2,1,afternoon
EMP00001,BASE07,14-11-2025,job2,0,
EMP00001,BASE07,15-11-2025,job2,1,afternoon
EMP00001,BASE07,16-11-2025,job2,0,
EMP00001,BASE07,17-11-2025,job2,1,morning
EMP00001,BASE07,18-11-2025,job2,1,full_day
EMP00001,BASE07,19-11-2025,job2,1,full_day
EMP00001,BASE07,20-11-2025,job2,1,morning
EMP00001,BASE07,21-11-2025,job2,1,afternoon
EMP00001,BASE07,22-11-2025,job2,1,afternoon
EMP00001,BASE07,23-11-2025,job2,1,full_day
EMP00001,BASE07,24-11-2025,job2,1,afternoon
EMP00001,BASE07,25-11-2025,job2,1,afternoon
EMP00001,BASE07,26-11-2025,job2,1,full_day
EMP00001,BASE07,27-11-2025,job2,0,
EMP00001,BASE07,28-11-2025,job2,1,full_day
EMP00001,BASE07,29-11-2025,job2,1,morning
EMP00001,BASE07,30-11-2025,job2,1,full_day
EMP00001,BASE07,01-12-2025,job2,1,afternoon
EMP00001,BASE07,02-12-2025,job2,1,morning
EMP00001,BASE07,03-12-2025,job2,1,morning
EMP00001,BASE07,04-12-2025,job2,1,morning
EMP00001,BASE07,05-12-2025,job2,1,full_day
EMP00001,BASE07,06-12-2025,job2,1,afternoon
EMP00001,BASE07,07-12-2025,job2,0,
EMP00001,BASE07,08-12-2025,job2,1,full_day
EMP00001,BASE07,09-12-2025,job2,1,morning
